,latin_maxim,translation,description
46,actus reus,guilty act,"The actual crime that is committed, rather than the intent or thought process leading up to the crime. Thus, the external elements of a crime, as contrasted with mens rea, the internal elements."
47,ad absurdum,to the absurd,"In logic, to the point of being silly or nonsensical. See also reductio ad absurdum. Not to be confused with ab absurdo (from the absurd)."
48,adaequatio intellect?s nostri cum re,conformity of our minds to the fact,A phrase used in Epistemology regarding the nature of understanding.
49,ad abundantiam,to abundance,"In legal language, used when providing additional evidence to an already sufficient collection. Also used commonly, as an equivalent of ""as if this wasn't enough""."
50,ad astra,to the stars,Name or motto (in full or part) of many organizations/publications/etc.
51,ad astra per aspera,to the stars through difficulty,"Motto of Kansas, and other organisations. The phrase is also translated as ""A rough road leads to the stars"", as on the Launch Complex 34 memorial plaque for the astronauts of Apollo 1."
52,ad astra per alia porci,to the stars on the wings of a pig,A favorite saying of John Steinbeck. A professor told him that he would be an author when pigs flew. Every book he wrote is printed with this insignia.
53,ad captandum vulgus,in order to court the crowd,To do something to appeal to the masses. Often used of politicians who make false or insincere promises to appeal to popular interest. An argumentum ad captandum is an argument designed to please the crowd.
54,ad eundem,to the same,"An ad eundem degree, from the Latin ad eundem gradum (to the same step"" or ""to the same degree), is a courtesy degree awarded by one university or college to an alumnus of another. It is not an honorary degree, but a recognition of the formal learning that earned the degree at another college."
55,ad fontes,to the sources,A motto of Renaissance humanism. Also used in the Protestant Reformation.
56,ad fundum,to the bottom,"Said during a generic toast, equivalent to ""bottoms up!"" In other contexts, generally means ""back to the basics""."
57,ad hoc,to this,"Generally means ""for this"", in the sense of improvised on the spot or designed for only a specific, immediate purpose."
58,,,
59,,,"Rather than relying on ad hoc decisions, we should form a consistent plan for dealing with emergency situations."
60,ad hominem,to the man,"Connotations of ""against the man"". Typically used in argumentum ad hominem, a logical fallacy consisting of criticizing a person when the subject of debate is the person's ideas or argument, on the mistaken assumption that the validity of an argument is to some degree dependent on the qualities of the proponent."
61,ad honorem,to the honor,"Generally means ""for the honor"", not seeking any material reward."
62,ad infinitum,to infinity,Going on forever. Used to designate a property which repeats in all cases in mathematical proof.
63,ad interim (ad int),for the meantime,"As in the term ""charg? d'affaires ad interim"" for a diplomatic officer who acts in place of an ambassador."
64,ad Kalendas Graecas,to the Greek Kalends,"Attributed by Suetonius in Lives of the Twelve Caesars to Caesar Augustus. The phrase means ""never"" and is similar to phrases like ""when pigs fly"". The Kalends (also written Calends) were specific days of the Roman calendar, not of the Greek, and so the ""Greek Kalends"" would never occur."
65,ad libitum (ad lib),toward pleasure,"Loosely, ""according to what pleases"" or ""as you wish""; libitum comes from the past participle of libere, ""to please"". It typically indicates in music and theatrical scripts that the performer has the liberty to change or omit something. Ad lib is specifically often used when someone improvises or ignores limitations."
66,ad litem,to the lawsuit,A legal term referring to a party appointed by a court to act in a lawsuit on behalf of another party who is deemed incapable of representing himself. An individual who acts in this capacity is called a guardian ad litem.
67,ad lucem,to the light,"Motto of Oxford High School (Oxford), the University of Lisbon, Withington Girls' School and St. Bartholomew's School, Newbury, UK"
68,ad maiorem Dei gloriam (AMDG),To the greater glory of God,"Motto of the Society of Jesus (Jesuits). Edward Elgar dedicated his oratorio The Dream of Gerontius ""A.M.D.G."" Often rendered ad majorem Dei gloriam."
69,ad meliora,Towards better things,"motto of St. Patrick's College, Cavan, Ireland"
70,ad mortem,To death,used in medical contexts as a synonym for death
71,ad multos annos,To many years!,"Expresses a wish for a long life. Similar to the English expression ""Many happy returns!"""
72,ad nauseam,to the point of disgust,"Literally, ""to the point of nausea"". Sometimes used as a humorous alternative to ad infinitum. An argumentum ad nauseam is a logical fallacy involving basing one's argument on prolonged repetition, i.e., repeating something so much that people are ""sick of it""."
73,ad oculos,With your own eyes.,"Meaning ""obvious on sight"" or ""obvious to anyone that sees it""."
74,ad pedem litterae,to the foot of the letter,"Thus, ""exactly as it is written"". Similar to the English idiom ""to the letter"", meaning ""to the last detail""."
75,ad perpetuam memoriam,to the perpetual memory,"Generally precedes ""of"" and a person's name, and is used to wish for someone to be remembered long after death."
76,ad pondus omnium (ad pond om),to the weight of all things,"More loosely, ""considering everything's weight"". The abbreviation was historically used by physicians and others to signify that the last prescribed ingredient is to weigh as much as all of the previously mentioned ones."
77,ad quod damnum,to what damage,"Meaning ""according to the harm"" or ""in proportion to the harm"". The phrase is used in tort law as a measure of damages inflicted, implying that a remedy, if one exists, ought to correspond specifically and only to the damage suffered (cf. damnum absque injuria)."
78,ad referendum,to that which must be brought back,"Loosely ""subject to reference"", meaning that something has been approved provisionally, but must still receive official approval. Not necessarily related to a referendum."
79,(ad ref),,
80,ad rem,to the matter,"Thus, ""to the point"". Without digression."
81,,,
82,,,"Thank you for your concise, ad rem response."
83,ad terminum qui praeteriit,for the term which has passed,A legal term for a writ of entry ad terminum qui praeteriit [for the term which has passed].1
84,ad undas,to the waves,"Equivalent to ""to hell""."
85,ad usum Delphini,for the use of the Dauphin,"Said of a work that has been expurgated of offensive or improper parts. The phrase originates from editions of Greek and Roman classics which Louis XIV had censored for his heir apparent, the Dauphin. Also rarely in usum Delphini (into the use of the Dauphin)."
86,ad usum proprium (ad us. propr.),for one's own use,
87,ad utrumque paratus,prepared for either alternative,"Also the motto of Lund University, with the implied alternatives being the book (study) and the sword (defending the country in war)."
88,ad valorem,to the value,"According to an object's value. Used in commerce to refer to ad valorem taxes, taxes based on the assessed value of real estate or personal property."
89,ad victoriam,to victory,"More commonly translated into ""for victory"" this is a battlecry of the Romans."
90,ad vitam aeternam,to eternal life,"Also ""to life everlasting"". A common Biblical phrase."
91,ad vitam aut culpam,for life or until fault,Usually used of a term of office.
92,addendum,thing to be added,"An item to be added, especially a supplement to a book. The plural is addenda."
93,adequatio intellectus et rei,correspondence of the mind and reality,"One of the definitions of the truth. When the mind has the same form as reality, we think truth. Also found as adequatio rei et intellectus."
94,adsum,I am here,"Equivalent to ""Present!"" or ""Here!"" The opposite of absum (I am absent)."
95,adversus solem ne loquitor,Don't speak against the sun,"I.e., don't argue the obvious"
96,aegri somnia,a sick man's dreams,"From Horace, Ars Poetica, 7. Loosely, ""troubled dreams""."
97,aequitas,Justice or equality,
98,aetat,"of age"" / ""aged"" (in the sense of: ""age: ...)","Abbreviation of ""aetatis""; even more abbreviated (and more common): ""aet."" ? e.g.: ""aetat 36"" = ""36 years old""/ ""aet. 34"" = ""34 years old"""
99,aetatis suae,of his own age,"Thus, ""at the age of"". Appeared on portraits, gravestones, etc. Sometimes extended to anno aetatis suae (AAS), ""in the year of his age"". Sometimes shortened to just aetatis or aetat (aet.)."
100,,,
101,,,The tomb reads Anno 1629 Aetatis Suae 46 because she died in 1629 at age 46.
102,affidavit,he asserted,"A legal term from Medieval Latin referring to a sworn statement. From fides, ""faith""."
103,age quod agis,Do what you are doing.,"More often translated as ""Do well whatever you do"", this phrase is used as the motto of several Catholic schools, including Jesuit High School in Portland, Oregon. According to the Catholic Culture dictionary, this phrase is used to remind people to concentrate on the task at hand, rather than scattering their attention."
104,agenda,things to be done,"Originally comparable to a to-do list, an ordered list of things to be done. Now generalized to include any planned course of action. The singular, agendum (thing that must be done), is rarely used."
105,Agnus Dei,Lamb of God,"Latin translation from John 1:36, where John the Baptist exclaims ""Ecce Agnus Dei!"" (Behold the Lamb of God!) upon seeing Jesus, referring both to a lamb's connotations of innocence and to a sacrificial lamb."
106,alea iacta est,the die is cast,"Said by Julius Caesar upon crossing the Rubicon in 49 BC, according to Suetonius. The original meaning was roughly equivalent to the English phrase ""the game is afoot"", but its modern meaning, like that of the phrase ""crossing the Rubicon"", denotes passing the point of no return on a momentous decision and entering into a risky endeavor where the outcome is left to chance."
107,alenda lux ubi orta libertas,Let learning be cherished where liberty has a,The motto of Davidson College.
108,alias,otherwise,"An assumed name or pseudonym. Similar to alter ego, but more specifically referring to a name, not to a ""second self""."
109,alibi,elsewhere,A legal defense where a defendant attempts to show that he was elsewhere at the time a crime was committed.
110,,,
111,,,His alibi is sound; he gave evidence that he was in another city on the night of the murder.
112,alis aquilae,on an eagle's wings,"taken from the Book of Isaiah, Chapter 40. ""But those who wait for the Lord shall find their strength renewed, they shall mount up on wings like eagles, they shall run and not grow weary, they shall walk and not grow faint."""
113,alis grave nil,nothing is heavy to those who have wings,motto of the Pontifical Catholic University of Rio de Janeiro (Pontif?cia Universidade Cat?lica do Rio de Janeiro ? PUC-RIO).
114,alis volat propris,she flies with her own wings,State motto of Oregon. Can also be rendered alis volat propriis.
115,aliquantus,Rather big,
116,aliquantulus,Not that big,
117,aliquid stat pro aliquo,something that stands for something else,A foundational definition for semiotics
118,alma mater,nourishing mother,"Term used for the university one attends or has attended. Another university term, matriculation, is also derived from mater. The term suggests that the students are ""fed"" knowledge and taken care of by the university. The term is also used for a university's traditional school anthem."
119,alter ego,other I,"Another self, a second persona or alias. Can be used to describe different facets or identities of a single character, or different characters who seem representations of the same personality. Often used of a fictional character's secret identity."
120,alterius non sit qui suus esse potest,Let no man belong to another that can belong ,"Final sentence from Aesop ascribed fable (see also Aesop's Fables) ""The Frogs Who Desired a King"" as appears in the collection commonly known as the ""Anonymus Neveleti"" (fable XXIb. De ranis a Iove querentibus regem). Motto of Paracelsus. Usually attributed to Cicero."
121,alterum non laedere,to not wound another,One of Justinian I's three basic legal precepts.
122,alumna or,pupil,"Sometimes rendered with the gender-neutral alumn or alum in English. A graduate or former student of a school, college or university. Alumna (pl. alumnae) is a female pupil, and alumnus (pl. alumni) is a male pupil?alumni is generally used for a group of both males and females. The word derives from alere, ""to nourish"", a graduate being someone who was raised and taken care of at the school (cf. alma mater)."
123,alumnus,,
124,amicus curiae,friend of the court,"An adviser, or a person who can obtain or grant access to the favour of powerful group, like a Roman Curia. In current U.S. legal usage, an amicus curiae is a third party allowed to submit a legal opinion (in the form of an amicus brief) to the court."
125,amittere legem terrae,to lose the law of the land,"An obsolete legal term signifying the forfeiture of the right of swearing in any court or cause, or to become infamous."
126,amor est vitae essentia,love is the essence of life,"As said by Robert B. Mackay, Australian Analyst."
127,amor et melle et felle est fecundissmismus,love is rich with both honey and venom,
128,amor fati,love of fate,Nietzscheian alternative world view to memento mori [remember you must die]. Nietzsche believed amor fati to be more life affirming.
129,amor omnibus idem,love is the same for all,from Virgil's Georgics III.
130,amor patriae,love of one's country,Patriotism.
131,amor vincit omnia,love conquers all,Written on bracelet worn by the Prioress in Chaucer's The Canterbury Tales. See also veritas omnia vincit and labor omnia vincit.
132,anglice,in English,"Used before the anglicized version of a word or name. For example ""Terra Mariae, anglice, Maryland""."
133,anno (an.),in the year,"Also used in such phrases as anno urbis conditae (see ab urbe condita), Anno Domini, and anno regni."
134,Anno Domini (A.D.),in the Year of the Lord,"Short for Anno Domini Nostri Iesus Christi (in the Year of Our Lord Jesus Christ), the predominantly used system for dating years across the world, used with the Gregorian calendar, and based on the perceived year of the birth of Jesus Christ. The years before Jesus' birth were once marked with a.C.n (Ante Christum Natum, Before Christ was Born), but now use the English abbreviation BC (Before Christ)."
135,,,
136,,,"Augustus Caesar was born in the year 63 BC, and died AD 14."
137,anno regni,In the year of the reign,"Precedes ""of"" and the current ruler."
138,Annuit C?ptis,He Has Approved the Undertakings,"Motto on the reverse of the Great Seal of the United States and on the back of the U.S. one dollar bill. ""He"" refers to God, and so the official translation given by the U.S. State Department is ""He [God] has favored our undertakings""."
139,annus horribilis,horrible year,"A recent pun on annus mirabilis, first used by Queen Elizabeth II to describe what a bad year 1992 had been for her, and subsequently occasionally used to refer to many other years perceived as ""horrible"". In Classical Latin, this phrase would actually mean ""terrifying year"". See also annus terribilis."
140,annus mirabilis,wonderful year,"Used particularly to refer to the years 1665?1666, during which Isaac Newton made revolutionary inventions and discoveries in calculus, motion, optics and gravitation. Annus Mirabilis is also the title of a poem by John Dryden written in the same year. It has since been used to refer to other years, especially to 1905, when Albert Einstein made equally revolutionary discoveries concerning the photoelectric effect, Brownian motion and the special theory of relativity. (See Annus Mirabilis Papers)"
141,annus terribilis,dreadful year,"Used to describe 1348, the year the Black Death began to afflict Europe."
142,ante bellum,before the war,"As in ""status quo ante bellum"", ""as it was before the war"". Commonly used in the Southern United States as antebellum to refer to the period preceding the American Civil War."
143,ante cibum (a.c.),before food,"Medical shorthand for ""before meals""."
144,ante litteram,before the letter,Said of an expression or term that describes something which existed before the phrase itself was introduced or became common.
145,,,
146,,,"Alan Turing was a computer scientist ante litteram, since the field of ""computer science"" was not yet recognized in Turing's day."
147,ante meridiem (a.m.),before midday,The period from midnight to noon (cf. post meridiem).
148,ante mortem,before death,See post mortem (after death).
149,ante prandium (a.p.),before lunch,"Used on pharmaceutical prescriptions to denote ""before a meal"". Less common is post prandium, ""after lunch""."
150,apparatus criticus,critical apparatus,"Textual notes. A list of other readings relating to a document, especially in a scholarly edition of a text."
151,aqua (aq.),water,
152,aqua fortis,strong water,Refers to nitric acid.
153,aqua pura,pure water,"Or ""clear water"", ""clean water""."
154,aqua regia,royal water,refers to a mixture of hydrochloric acid and nitric acid.
155,aqua vitae,water of life,"""Spirit of Wine"" in many English texts. Used to refer to various native distilled beverages, such as whisky in Scotland and Ireland, gin in Holland, brandy (eau de vie) in France, and akvavit in Scandinavia."
156,aquila non capit muscam,an eagle doesn't catch flies,A noble or important person doesn't deal with insignificant issues.
157,arare litus,to plough the seashore,From Gerhard Gerhards' (1466?1536) [better known as Erasmus] collection of annotated Adagia (1508). Wasted labour.
158,arbiter elegantiarum,judge of tastes,"One who prescribes, rules on, or is a recognized authority on matters of social behavior and taste. Said of Petronius. Also rendered arbiter elegentiae (judge of a taste)."
159,arcus senilis,senile bow,"An opaque circle around the cornea of the eye, often seen in elderly people."
160,Argentum album,white money,"Also ""silver coin"". Mentioned in Domesday, signifies bullion, or silver uncoined."
161,arguendo,for arguing,For the sake of argument. Said when something is done purely in order to discuss a matter or illustrate a point.
162,,,
163,,,"Let us assume, arguendo, that your claim is correct."
164,argumentum,argument,"Or ""reasoning"", ""inference"", ""appeal"", ""proof"". The plural is argumenta. Commonly used in the names of logical arguments and fallacies, preceding phrases such as a silentio (by silence), ad antiquitatem (to antiquity), ad baculum (to the stick), ad captandum (to capturing), ad consequentiam (to the consequence), ad crumenam (to the purse), ad feminam (to the woman), ad hominem (to the person), ad ignorantiam (to ignorance), ad judicium (to judgment), ad lazarum (to poverty), ad logicam (to logic), ad metum (to fear), ad misericordiam (to pity), ad nauseam (to nausea), ad novitatem (to novelty), ad personam (to the character), ad numerum (to the number), ad odium (to spite), ad populum (to the people), ad temperantiam (to moderation), ad verecundiam (to reverence), ex silentio (from silence), and in terrorem (into terror)."
165,ars [est] celare artem,art [is] to conceal art,"An aesthetic ideal that good art should appear natural rather than contrived. Of medieval origin, but often incorrectly attributed to Ovid.2"
166,ars gratia artis,art for art's sake,"Translated into Latin from Baudelaire's ""L'art pour l'art"". Motto of Metro-Goldwyn-Mayer. This phrasing is a direct transliteration of 'art for the sake of art.' While very symmetrical for the MGM logo, the better Latin word order is 'Ars artis gratia.'"
167,ars longa vita brevis,"art is long, life is short","The Latin translation by Seneca (De Brevitate Vitae, 1.1) of a phrase from Hippocrates, often used out of context. The ""art"" referred to in the original aphorism was the craft of medicine, which took a lifetime to acquire."
168,asinus ad lyram,an ass to the lyre,From Gerhard Gerhards' (1466?1536) [better known as Erasmus] collection of annotated Adagia (1508). An awkward or incompetent individual.
169,asinus asinum fricat,the jackass rubs the jackass,Used to describe two people lavishing excessive praise on one another.
170,assecuratus non quaerit lucrum sed agit ne in damno sit,the assured does not seek profit but just ind,Refers to the insurance principle that the indemnity cannot be larger than the loss.
171,"audacter calumniare, semper aliquid haeret","slander boldly, something always sticks","from Francis Bacon, De Augmentis Scientiarum (1623)"
172,auctoritas,authority,Referred to the general level of prestige a person had in Ancient Roman society.
173,audax at fidelis,bold but faithful,Motto of Queensland.
174,audeamus,let us dare,"Motto of Otago University Students' Association, a direct response to the university's motto of sapere aude (dare to be wise)."
175,audemus jura nostra defendere,we dare to defend our rights,"State motto of Alabama, adopted in 1923. Translated into Latin from a paraphrase of the stanza ""Men who their duties know / But know their rights, and knowing, dare maintain"" from the poem ""What Constitutes a State?"" by 18th-century author William Jones."
176,audentes fortuna iuvat,fortune favors the bold,"From Virgil, Aeneid X, 284 (where the first word is in the archaic form audentis). Allegedly the last words of Pliny the Elder before he left the docks at Pompeii to rescue people from the eruption of Vesuvius in 79. Often quoted as audaces fortuna iuvat. Also the motto of the Portuguese Army Commandos."
177,audere est facere,to dare is to do,"The motto of Tottenham Hotspur Football Club, the professional Association Football (soccer) team based in London, England."
178,audi alteram partem,hear the other side,A legal principle of fairness. Also worded as audiatur et altera pars (let the other side be heard too).
179,audio hostem,I hear the enemy,Motto of 845 NACS Royal Navy
180,aurea mediocritas,golden mean,"From Horace's Odes II, 10. Refers to the ethical goal of reaching a virtuous middle ground between two sinful extremes. The golden mean concept is common to many philosophers, chiefly Aristotle."
181,auri sacra fames,accursed hunger for gold,"From Virgil, Aeneid 3,57. Later quoted by Seneca as ""quod non mortalia pectora coges, auri sacra fames"": ""What aren't you able to bring men to do, miserable hunger for gold!"""
182,auribus teneo lupum,I hold a wolf by the ears,"A common ancient proverb, this version from Terence. Indicates that one is in a dangerous situation where both holding on and letting go could be deadly. A modern version is ""To have a tiger by the tail."""
183,aurora australis,southern dawn,"The Southern Lights, an aurora that appears in the Southern Hemisphere. It is less well-known than the Northern Lights, or aurorea borealis. The Aurora Australis is also the name of an Antarctic icebreaker ship."
184,aurora borealis,northern dawn,"The Northern Lights, an aurora that appears in the Northern Hemisphere."
185,aurum potestas est,gold is power,"Motto of the fictional Fowl family in the Artemis Fowl series, written by Eoin Colfer"
186,auspicium melioris aevi,hope of a better age,"Motto of Raffles Institution, a secondary school in Singapore."
187,aut Caesar aut nihil,either Caesar or nothing,"Indicates that the only valid possibility is to be emperor, or a similarly prominent position. More generally, ""all or nothing"". Adopted by Cesare Borgia as a personal motto."
188,aut concilio aut ense,either by meeting or by the sword,"Thus, either through reasoned discussion or through war. A former motto of Chile, replaced by post tenebras lux."
189,aut pax aut bellum,either peace or war,The motto of the Gunn Clan.
190,aut viam inveniam aut faciam,"Either I shall find a way, or I shall make on",Hannibal.
191,aut vincere aut mori,either to conquer or to die,"A general pledge of ""victory or death"" (cf. victoria aut mors)."
192,ave atque vale,Hail and farewell!,"From Catullus, carmen 101, addressed to his deceased brother."
193,ave Caesar morituri te salutant,"Hail, Caesar! The ones who are about to die s","From Suetonius' Lives of the Twelve Caesars, Claudius 21. The traditional greeting of gladiators prior to battle. morituri is also translated as ""we who are about to die"" based on the context in which it was spoken, and this translation is sometimes aided by changing the Latin to nos morituri te salutamus. Also rendered with imperator instead of Caesar."
194,ave Europa nostra vera Patria,"Hail, Europe, our true Fatherland!",Anthem of Pan-Europeanist
195,Ave Maria,"Hail, Mary","A Roman Catholic prayer to Mary, the mother of Jesus."
196,B,,
197,Latin,Translation,Notes
198,barba tenus sapientes,wise as far as the beard,"From Gerhard Gerhards' (1466?1536) [better known as Erasmus] collection of annotated Adagia (1508). In appearance wise, but not necessarily so."
199,Beata Virgo Maria (BVM),Blessed Virgin Mary,"A common name in the Roman Catholic Church for Mary, the mother of Jesus. The genitive, Beatae Mariae Virginis (BMV), occurs often as well, appearing with such words as horae (hours), litaniae (litany) and officium (office)."
200,beatae memoriae,of blessed memory,See in memoriam.
201,beati pauperes spiritu,Blessed in spirit [are] the poor.,"Vulgate, Matthew 5:3. The full quote is ""beati pauperes spiritu quoniam ipsorum est regnum caelorum"" (""Blessed in spirit [are] the poor, for theirs is the kingdom of the heavens"" - one of the Beatitudes)."
202,beati possidentes,blessed [are] those who possess,Translated from Euripides.
203,beatus homo qui invenit sapientiam,blessed is the man who finds wisdom,from Proverbs 3:13; set to music in a 1577 motet of the same name by Orlando di Lasso.
204,bella gerant alii,let others wage war,"Originally from the Habsburg marriages of 1477 and 1496, written as bella gerant alii tu felix Austria nube (let others wage war; you, fortunate Austria, marry). Said by King Matthias"
205,bellum omnium contra omnes,war of all against all,A phrase used by Thomas Hobbes to describe the state of nature.
206,bibo ergo sum,"I drink, therefore I am",
207,bis dat qui cito dat,"he gives twice, who gives promptly",Thus a gift that is given quickly without hesitation is worth twice as much.
208,bis in die (bid),twice in a day,"Medical shorthand for ""twice a day""."
209,bona fide,in good faith,"In other words, ""well-intentioned"", ""fairly"". In modern contexts, often has connotations of ""genuinely"" or ""sincerely"". Bona fides is not the plural (which would be bonis fidebus), but the nominative, and means simply ""good faith"". Opposite of mala fide."
210,bona notabilia,?,"In law, if a person dying has goods, or good debts, in another diocese or jurisdiction within that province, besides his goods in the diocese where he dies, amounting to a certain minimum value, he is said to have bona notabilia; in which case, the probat of his will belongs to the archbishop of that province."
211,bona officia,good services,A nation's offer to mediate in disputes between two other nations.
212,bona patria,?,"A jury or assize of countrymen, or good neighbors."
